root_id	root_form	root_meaning_en	tla_root_form	tla_root_id	tla_root_meaning_en	tla_root_meaning_de
0	bḏꜣ		bḏꜣ	869423		[Gussform]
1	bgs		bgs	869732		[schaden]
2	bhꜣ		bhꜣ	869603		[Wedel]
3	bẖ					
4	bhn					
5	bḥz		bḥz	869627		[Kalb]
6	bj		bj	866204		[Biene]
7	bjk		bjk	869468		[Falke]
8	bjn		bjn	869459		[Harfe]
9	bjn		bjn	863951		[schlecht sein; böse sein]
10	bjꜣj		bjꜣi̯	863936		[entfernen; Kostbarkeiten]
11	bkꜣ		bkꜣ	864623		[schwanger]
12	bny		bnj	869537		[süß]
13	bnw		bnu̯	869516		[entkommen; abgehen]
14	bnw		bnu̯	869516		[entkommen; abgehen]
15	bnw		bnu̯	869516		[entkommen; abgehen]
16	bnw		bnu̯	869516		[entkommen; abgehen]
17	bl		bl	869549		[außen]
18	bq		bq	869696		[feindlich sein]
19	bnw		bnu̯	869516		[entkommen; abgehen]
20	bꜣ		bꜣ	868916		[aufhacken]
21	bnw		bnu̯	869516		[entkommen; abgehen]
22	bꜣ		bꜣ	868916		[aufhacken]
23	br					
24	brg					
25	brg		brg	869591		[öffnen]
26	brhm					
27	brkt					
28	brq					
29	bs		bs	869675		[Ente]
30	bs					
31	bš					
32	msn		msn	869555		[Stichel]
33	btꜣ		btꜣ	869513		[schuldig]
34	bwj		bwi̯	868946		[verabscheuen]
35	bjꜣj		bjꜣi̯	863936		[entfernen; Kostbarkeiten]
36	bjꜣj		bjꜣi̯	863936		[entfernen; Kostbarkeiten]
37	bꜣ		bꜣ	868913		[Ba]
38	bꜣ		bꜣ	868910		[Widder]
39	bꜣ		bꜣi̯	868922		[feucht sein]
40	bꜣj		bꜣ	868916		[aufhacken]
41	bꜣbꜣ					
42	bwꜣ		bwꜣ	868943		[hoch sein; angesehen sein]
43	bꜣ		bꜣ	868931		[Busch]
44	bꜣḥ		bꜣḥ	868955		[Phallus]
45	bk		bk	869402		Grundstück
46	bꜣk		bꜣk	868997		[dienen]
47	bꜣq		bꜣq	868991		[glänzen]
48	bꜣs		bꜣs	868982		[herausschneiden]
49	bꜥj		bꜥ	869480		[sprudeln; erzeugen]
50	pꜥ		pꜥ	869804		[speien]
51	bꜥḥj		bꜥḥi̯	869498		[überfluten]
52	dj		dj	878174		[fünf]
53	d					
54	d					
55	rḏj		rḏi̯	872594		[geben; veranlassen]
56	dmḏ		dmḏ	878195		[vereinigen]
57	jdb		jdb	866153		[Ufer]
58	dp		dp	878186		[schmecken]
59	ḏn					
60	ḏbb		ḏbb	877685		[verstopfen]
61	dbḥ		dbḥ	873812		[bitten]
62	ḏnf		ḏnf	877067		[Tier]
63	ḏnḥ		ḏnḥ	877751		[Flügel]
64	tnm		tnm	873824		[irregehen]
65	ḏbꜣ		ḏbꜣ	877691		[austauschen]
66	ḏbꜣ		ḏbꜣ	877691		[austauschen]
67	dnrg					
68	ḏnt		ḏnt	877754		[erproben]
69	dp		dp	878192		[Lende]
70	dqr		dqr	878108		[Frucht]
71	ḏbꜥ		ḏbꜥ	877682		[Finger]
72	ḏqꜥ		ḏqꜥ	877901		[schlagen]
73	dr		dr	878225		[beseitigen; ausstrecken]
74	ḏd		ḏd	866186		[sagen]
75	ḏrw		ḏr	875804		[fernhalten]
76	ḏdf		ḏdf	875819		[schaudern]
77	dgs		dgs	878273		[treten]
78	tks		tks	878459		[durchbohren]
79	dgꜣ		dgꜣ	878258		[rasieren]
80	dqr		dqr	878108		[Frucht]
81	mnš		dšr	875894		[rot sein]
82	ḏrꜥ		ḏrꜥ	877784		[zerstreuen]
83	wꜣḏ		wꜣḏ	867194		[gedeihen]
84	ḏwj		ḏwi̯	877670		[hochheben]
85	dḥr		dḥr	875831		[bitter sein]
86	dwn		dwn	875891		[ausstrecken]
87	dwꜣ		dwꜣ	873809		[früh sein]
88	ḏꜣ		ḏꜣ	877643		[rund sein]
89	ḏꜣj		ḏꜣi̯	870755		[überqueren]
90	ḏꜣd		ḏꜣd	877637		[abstechen]
91	ḏꜣf		ḏꜣf	877616		[verbrennen]
92	ḏꜣm		ḏꜣm	877052		[tanzen]
93	ḏꜣm		ḏꜣm	877052		[tanzen]
94	ḏꜥn					
95	ḏꜣr		ḏꜣr	877625		[Johannisbrotfrucht]
96	ḏꜥ					
97	wḏꜥ		wḏꜥ	868856		[trennen]
98	ḏꜥ		ḏꜥ	877649		[Sturm]
99	ḏꜥb		ḏꜥb	877385		[Kohle]
100	ḏꜥr		ḏꜥr	877664		[untersuchen]
101	'=f					
102	fy		fy	870392		[Viper]
103	fd					
104	fd					
105	fd		fd	870446		[schwitzen]
106	fḫ		fḫ	867002		[lösen; zerstören]
107	fnṯ		fnṯ	870422		[Made]
108	fꜣg		fꜣg	870434		[auslösen]
109	fꜣg		fꜣg	870434		[auslösen]
110	ft		ft	870443		[sich ekeln]
111	fꜣj		fꜣi̯	863999		[tragen]
112	fꜥꜣ					
113	gbj		gbi̯	872444		[schädigen]
114	gbt		gbt	877988		[Koptos]
116	gbꜣ		gbꜣ	877925		[Arm]
117	gḏ		gḏ	877949		[Hand]
118	gḥs		gḥs	878069		[Gazelle]
119	gr		gr	864236		[schweigen]
120	knm		knm	875981		[einhüllen]
121	gmj		gmi̯	872447		[finden]
122	gmꜥ		gmi̯	872447		[finden]
123	gnn		gnn	873842		[schwach sein]
124	gn		gn	878009		[angesehen sein]
125	ḏn		ḏn	877760		[singen]
126	gn		gn	878009		[angesehen sein]
127	gns		gns	875912		[Unrecht]
128	gr		gr	877916		[Partikel]
129	grꜣ		grꜣ	878033		[Vögel]
130	grb					
131	grb		grb	877958		[schneiden]
132	grg		grg	870728		[einrichten; gründen; lügen]
133	grg		grg	870728		[einrichten; gründen; lügen]
134	grḥ		grḥ	873842		[aufhören]
135	grm		grm	878048		[fortschleppen]
136	krp		krp	877232		[enthüllen]
137	qrꜥ		qrꜥ	875936		[Schild]
138	gs		gstj	878096		[Palette]
139	gs		gs	878075		[Seite]
140	gš		gš	876017		[schütten]
141	gsm					
142	gšp		gšp	876014		[blicken]
143	qṯr		qṯr	877280		[Ring]
144	gt		gt	878105		[Zisterne]
145	gwn					
146	gꜣw		gꜣi̯	866051		[kentern]
147	gꜣ					
148	gꜣw		gꜣu̯	871685		[eng sein]
149	gꜣw		gꜣi̯	866051		[kentern]
150	gꜣb		gꜣb	877922		[Blatt]
151	gꜣf					
152	gꜣḥ		gꜣḥ	877937		[Körperteil]
153	gꜣš		gꜣš	876020		[Schilfrohr]
154	hwt		hj	872672		[jubeln]
155	hꜣ		hꜣ	872645		[Ehemann]
156	ḥwj		ḥwi̯	865883		[schlagen]
157	ḥwj		zḥ	874787		[Zelt]
158	ḫwj		ḫwi̯	873665		[schützen]
159	ḫtj		ḫt	874442		[Holz]
160	ḫwj		ḫꜣi̯	870530		[messen]
161	ḫwj		ḫꜣi̯	870530		[messen]
162	ḫwj		ḫwi̯	873665		[schützen]
163	ḫwj		ḫꜣi̯	870530		[messen]
164	ẖ		ẖ	870611		[Körper]
165	hbw		hbu̯	865847		[durchziehen]
166	hbw		hbu̯	865847		[durchziehen]
167	hbw		hbu̯	865847		[durchziehen]
168	hbw		hbu̯	865847		[durchziehen]
169	ḥꜣb		ḥꜣb	872870		[Fest]
170	hbw		hbu̯	865847		[durchziehen]
171	ḫbj		ḫbi̯	872288		[vermindern]
172	hbq		hbq	872744		[zerstoßen]
173	ḥbrbr					
174	ḫbr		ḫbr	874040		[zusammenfügen]
175	ḥbs		ḥbs	873041		[bekleiden]
176	ḫbs		ḫbs	874046		[leuchten]
177	hd		hd	872696		[entgegentreten]
178	ḥd		ḥd	869633		[umspannen]
179	ḥḏ		ḥḏ	870590		[weiß]
180	ḥḏj		ḥḏi̯	870593		[schädigen]
181	ḥḏy		ḥḏy	870599		[kalt]
182	ẖd		ẖd	874586		[untersuchen]
183	ẖdb		ẖdb	874589		[töten]
184	ḫft		ḫft	874052		[gegenüber]
185	ḥfꜣ		ḥfꜣ	873266		[kriechen]
186	ḫfꜥ		ḫfꜥ	874094		[packen]
187	ḫfꜥ		ḫfꜥ	874094		[packen]
188	ḥḥ		ḥḥ	872912		[Million]
189	ḫꜣ		ḫꜣ	873758		[worfeln]
190	ḫḫ		ḫḫ	874379		[nivellieren]
191	ḫḫ		ḫḫ	874376		[Hals]
192	ḥjb					
193	ḥkn		ḥkn	873587		[preisen]
194	ẖkr		ẖkr	873950		[schmücken]
195	ḥkꜣ		ḥkꜣ	873575		[zaubern]
196	hm		hm	869552		[jauchzen]
197	hnn		hnn	870527		[neigen]
198	ḥm		ḥm	872684		[steuern]
199	ḥmw		ḥm	872762		[zermalmen; drücken]
200	ḥʾm		ḥʾm	873284		[Frau]
201	ḥm		ḥm	873299		[vierzig]
202	ḥmt		ḥmt	873335		[Erz]
203	ḥmj		ḥmi̯	865979		[weichen; zurücktreiben]
204	ḫmt		ḫmt	874217		[drei]
206	ḥmḏ					
207	ḥnmm		ḥnmm	873422		[Menschheit]
208	ẖmm		ẖmm	873320		[heiß werden]
209	ḫmn		ḫmn	874211		[acht]
210	ḥmsj		ḥmsi̯	865898		[sitzen]
211	ẖms		ẖms	874544		[beugen]
212	ḥmꜣ		ḥmꜣ	873302		[Salz]
213	ḥmꜣ		ḥmꜣ	873308		[keltern]
214	ḫmꜣꜣ		ḫmꜣꜣ	874202		[schrumpeln]
215	hnw		hnw	870608		[Kasten]
216	ḥn		ḥn	873344		[verschließen]
217	ẖn		ẖn	874550		[herantreten]
218	ḥnʾ		ḥnʾ	873365		[Pelikan]
219	ḥn		ḥn	873341		[anordnen]
220	ḥn		ḥn	873341		[anordnen]
221	ḥn		ḥn	873341		[anordnen]
222	ḥn		ḥn	873344		[verschließen]
223	ẖnw		ẖni̯	870545		[rudern]
224	ẖnw		ẖnw	871631		[Inneres]
225	ẖn		ẖn	874550		[herantreten]
226	ḫnd		ḫnd	874289		[treten]
227	ḫnd		ḫnd	874289		[treten]
228	ḥnḥ					
229	ḥnk		ḥnk	870665		[flechten; schenken]
230	ẖnm		ẖnm	871616		[vereinigen]
231	ḫnm		ḫnm	870668		[riechen; erfreuen]
232	ẖnm		ẖnm	871616		[vereinigen]
233	ḫnws		ḫnws	874244		[stechen]
234	hnn		hnn	870527		[neigen]
235	ẖnn		ẖnn	873956		[stören]
236	ẖn		ẖn	874550		[herantreten]
237	ḫnp		ḫnp	874247		[zueignen]
238	ḫnp		ḫnp	874247		[zueignen]
239	ḥnq		ḥnq	873449		[Bier]
240	ḫnr		ḫnr	874265		[einsperren]
241	ḫnr		ḫnr	867008		[zerstreuen; rauben]
242	ḫll		ḫll	874268		[stechen]
243	ḫnr		ḫnr	867008		[zerstreuen; rauben]
244	ḫrr		ḫrr	874271		[heiser sein]
245	ḫns					
246	ḫnš		ḫnš	873971		[stinken]
247	ḥntꜣs					
248	hp		hp	872750		[Vorschrift]
249	ḥjp		ḥjp	872897		[laufen]
250	ḫpr		ḫpr	873698		[werden; entstehen]
251	ḫrp		ḫrp	874316		[leiten]
252	ẖpn		ẖpn	870581		[ausgebaucht sein]
255	ẖpꜣ		ẖpꜣ	874535		[Nabel]
256	ḥqr		ḥqr	873578		[hungern]
257	ḥqꜣ		ḥqꜣ	873572		[herrschen]
258	hrw		hrw	872198		[Tag]
259	ḥr		ḥr	866180		[Gesicht]
260	hrw		hru̯	872201		[zufrieden sein]
261	hr		hr	870653		[melken]
262	ḥrtj		ḥri̯	872702		[fern sein]
263	ḥrj		ḥri̯	872702		[fern sein]
264	ḥrj		ḥri̯	872702		[fern sein]
265	ḥr		ḥr	866180		[Gesicht]
266	ḥrj		ḥrti̯	873491		[zu Lande reisen]
267	ḥr					
268	ḥr		ḥr	866180		[Gesicht]
269	ḥry		ḥry	871601		[Mist; Dung]
270	hrw		hru̯	872201		[zufrieden sein]
271	ḥr		ḥr	873476		[bereit machen]
272	ḥrj		ḥri̯	872702		[fern sein]
273	ḫr		ḫr	865916		[fallen]
274	ḫr		ḫr	874310		[Myrrhe]
275	ḫꜣr					
276	ḫr		ḫr	865916		[fallen]
277	ḫr		ḫr	874301		[bei]
278	ḫrw		ḫru̯	874304		[sagen]
279	ḫr		ḫr	874295		[Straße]
280	ẖrd		ẖrd	873953		[Kind]
281	ẖr		ẖr	870548		[unter]
282	ḫꜣt		ḫꜣt	873788		[rasen]
283	ḫpr		ḫpr	873698		[werden; entstehen]
284	ḫrd		ḫrd	874352		[Ballen; Binde]
285	ḫrḏ		ḫrḏ	874355		[Zähneknirschen]
286	hrp		hrp	872789		[einsinken]
287	ḫrp		ḫrp	874316		[leiten]
288	ḫrp		ḫrp	874316		[leiten]
289	ḫrp		ḫrp	874316		[leiten]
290	ḥrr		ḥrr	873482		[Gewürm]
291	ḥrr		ḥrr	873479		[Blume]
292	ḫrr					
293	ḥrš		ḥrš	873488		[schwer sein]
294	ḫrš		ḫrš	874346		[Bündel]
296	ḫr					
297	ḫr		ḫr	865916		[fallen]
298	ḥs		ḥs	871604		[beschmutzen]
299	ḥsj		ḥzi̯	873509		[loben]
300	ẖzj		ẖzi̯	874565		[schwach sein]
301	ḥsb		ḥsb	873563		[zerlegen]
302	ḫšb		ḫšb	874430		[verstümmeln]
303	ḫsf		ḫsf	870536		[gegenübertreten]
304	zmn		zmn	873536		[Natron]
305	ḥsr					
306	ḥzj		ḥzi̯	873557		[spinnen]
307	ḥṯ		ḥṯ	872933		[Hyäne]
308	ḫtj		ḫt	874442		[Holz]
309	ḫtj		ḫti̯	872924		[ritzen; reiben]
310	ẖd		ẖd	874586		[untersuchen]
311	ẖ		ẖ	870611		[Körper]
312	ḥtm		ḥtm	872810		[zu Ende gehen; zu Ende bringen]
313	ḥtm		ḥtm	872810		[zu Ende gehen; zu Ende bringen]
314	ḫtm		ḫtm	870542		[siegeln]
315	ḫṯn		ḫṯn	874463		[Knoblauch]
317	ḥtp		ḥtp	873623	v	[zufrieden sein; ruhen]
318	ḥtr		ḥtr	873629		[zusammenbinden]
319	ḫtr		ḫtr	874448		[Verb]
320	ḥꜣ		ḥꜣ	870659		[hinten]
321	ḥṯṯ		ḥṯṯ	873650		[Schulter]
322	wḥꜣ		ḥꜣ	872840		[Anfang]
323	ḥtꜣ		ḥtꜣ	872927		[Segel]
324	ḥꜣj		ḥꜣi̯	872837		[entblößen]
325	ḥwn		ḥwn	870662		[jung sein]
326	ḥꜣ		ḥwi̯	865883		[schlagen]
327	ḥꜣ		ḥꜣ	870659		[hinten]
328	ḥꜣ		ḥꜣ	872834		[Grab]
329	ḫꜣj		ḫꜣi̯	870530		[messen]
330	ḫꜣw		ḫꜣw	873716		[Altar]
331	ḫꜣj		ḫꜣi̯	870530		[messen]
332	ḫꜣ		ḫꜣ	873674		[tausend]
333	ḫꜣt		ḫꜣt	873788		[rasen]
334	ḫꜣwj		ḫꜣ	876485		[Gewässer]
335	ḫꜣ		ḫꜣ	873671		[Pflanze]
336	wḫꜣ		wḫꜣ	867500		[herabhängen]
337	ḫꜣḫꜣ					
338	ẖꜣ		ẖꜣ	871622		[niedermetzeln]
339	hb					
340	hꜣb		hꜣb	872648		[senden]
341	ḥꜣb		ḥꜣb	872729		[Fang]
342	ḥꜣd		ḥꜣd	872699		[mit der Reuse fangen]
343	ḫꜣd		ḫꜣd	873995		[rupfen; zerstören]
344	ḥꜣg		ḥꜣg	872891		[froh sein]
345	hꜣm					
346	ḥꜣp		ḥꜣp	872873		[verbergen]
347	ḥqꜣ		ḥqꜣ	873572		[herrschen]
348	ẖꜣr		ẖꜣr	874496		[Witwe]
349	ḫꜣs		ḫꜣs	873773		[Spiraldraht]
350	ḥꜣ					
351	ḥꜣt		ḥꜣt	872894		[trübe sein]
352	ḫꜣtr		ḫꜣtr	874019		[Ichneumon]
353	hꜣṯs		hꜣṯs	872663		[Krug]
354	hꜣj		hꜣi̯	866237		[herabsteigen]
355	ḫꜣꜥ		ḫꜣꜥ	873704		[werfen; legen]
356	ḥꜥ		ḥꜥ	866228		[Glied]
357	ḫꜥ		ḫꜥ	874010		[Gerät]
358	ḫꜥj		ḫꜥi̯	870704		[erscheinen]
359	ẖꜣb		ẖꜣb	874484		[krumm sein]
360	ḥꜣm		ḥꜣm	872876		[fischen]
361	ẖꜥq		ẖꜥq	870584		[rasieren]
362	ḫꜥr		ḫꜥr	873752		[Leder]
363	j		j	864311		[Interjektion]
364	jwy		jwy	864485		[bewässern; ausgießen]
365	jbj		jbi̯	863876		[dürsten]
366	jb		jb	864548		[Herz]
367	jbḥ		jbḥ	863978		[Zahn]
368	jd		jd	866129		[Spende; Duft; Tau; Ausschwitzung]
369	jf		jwf	864500		[Fleisch]
370	fd		fd	864008		[vier]
371	gp		gp	866054		[bewölken]
372	jhy		jhj	865835		[Klageruf]
373	jḥ		jḥ	865856		[Rind]
374	jhm		jhm	864086		[langsam gehen]
375	jḫm					
376	jḫm		ḫm	874106		[stampfen]
378	ḥn		ḥn	873344		[verschließen]
380	jwj		jwi̯	864410		[kommen]
381	jkn		jkn	866042		[ausgraben; ergreifen]
382	mj		mj	866210		[kommen]
383	jm		jm	864680		[klagen]
384	mj		mj	871361		[nehmen]
385	jm		jm	864674		[innen]
386	mḥ		mḥ	864035		[voll sein; fassen]
387	jmn		jmn	864719		[Westen]
388	jmn		jmn	864716		[verbergen]
389	jms		jms	864029		[Dill]
390	jmskꜣ		jmskꜣ	864041		[Fisch]
391	jn		jn	864845		[Negation]
392	nwꜣ		nwꜣ	871955		[sehen]
393	jnj		jnn	864872		[umwenden]
394	jnn		jn	864875		[Teil eines Riegels]
395	jwn		jwn	864506		[Farbe; Charakter]
396	jbn		jbn	863969		[Alaun]
397	jnb		jnb	864044		[Mauer]
398	jnbꜣ		jnbꜣ	863948	[stumm sein]	
399	jnḥ		jnḥ	865733		[umgeben; einschließen; umzingeln]
400	jnk					
401	jnm		jnm	864050		[Haut]
402	m					
403	jnn					
404	jnn		jnn	864872		[umwenden]
405	jnnk		jnnk	865724		[Pflanze]
406	jnp		jnp	865043		Anubis
407	jnq		jnq	865751		[umfassen]
408	ynr					
409	jnr		jnr	865727		[Stein]
410	jnn		jnn	864848		[schneiden]
411	jp		jp	864632		[zählen]
412	jpt		jpt	864656		[Becher]
413	jpn					
414	jpꜣ					
415	qm		qm	864206		[traurig sein]
416	jrj		jri̯	864317		[machen; tun]
417	jr		jr	865799		[bezüglich]
418	jr		jri̯	864317		[machen; tun]
419	jr		jr	865796		[Auge]
420	jrp		jrp	865805		[Wein]
421	jrr					
422	jrṯ		jrṯ	865808		[Milch]
423	jz		jz	864140		[alt; Verfall]
424	jzj		jzj	864149		[leicht sein]
425	jsw		jsw	865964		[Gegenleistung]
426	jns		jns	864152		[rot; Hoden]
427	jwsw		js	865955		[Partikel]
428	jsq		jsq	864161		[zögern; verweilen; zurückhalten]
429	jt		jt	866066		[Gerste]
430	jtj		jtj	864248		[Vater]
431	jtḥ		jtḥ	864260		[ziehen]
432	jtn		jtn	866093		[Erdboden]
433	jtr		jtr	864059		[langer Abschnitt]
434	jw		jw	864476		[Nichtexistenz]
435	jw		jw	864449		[Hund]
436	jwd		jwd	864542		[trennen]
437	jwn		jwn	864503		[Pfeiler]
438	jwr		jwr	864515		[empfangen; schwanger sein]
439	jwr		jwr	864515		[empfangen; schwanger sein]
440	jwꜣ		jwꜣ	863870		[aussondern; Rind]
441	jwꜥ		jwꜥ	864494		[beerben]
442	jjr					
443	jzj		jz	864140		[alt; Verfall]
444	jꜣj		jꜣi̯	863255		[sich erheben]
445	jꜣj		jꜣi̯	863255		[sich erheben]
446	jꜣb		jꜣb	863900		[links]
447	jꜣb		jꜣb	864353		[übelriechend (?); krank]
448	jꜣd		jꜣd	864251		[Netz]
449	ꜣḫj		ꜣḫi̯	864110		[überschwemmt sein; gedeihen]
450	jꜣq		jꜣq	864380		[emporsteigen; beherrschen]
451	jꜣr		jꜣr	864074		[Flechtwerk]
452	jꜣr		jꜣr	864074		[Flechtwerk]
453	jꜣs		jꜣs	864377		[kahl sein]
454	jꜥj		jꜥi̯	864416		[waschen]
455	jꜥf		jꜥf	864434		[auspressen]
456	jꜥḥ		jꜥḥ	864446		[Mond]
457	jꜥn					
458	jꜥr		jꜥr	863279		aufsteigen
459	ky		ky	877124		[anderer]
460	kbnj		kbnj	877175		[Byblos]
461	kfꜣ		kfꜣ	877196		[Hinterteil]
